y,x,opp_fga,opp_fg,opp_pts,opp_ssce,opp_prla,dist
27.5,27.5,2.0,0.0,0.0,-0.588,-1.175,3.54
27.5,32.5,1.0,0.0,0.0,-0.684,-0.684,3.91
27.5,37.5,1.0,0.0,0.0,-0.545,-0.545,4.3
27.5,42.5,0.0,0.0,0.0,-0.606,0.0,4.72
27.5,47.5,1.0,0.0,0.0,-0.563,-0.563,5.15
27.5,52.5,1.0,0.0,0.0,-0.805,-0.805,5.59
27.5,57.5,0.0,0.0,0.0,-0.819,0.0,6.04
27.5,62.5,0.0,0.0,0.0,-1.006,0.0,6.5
27.5,67.5,5.0,1.0,3.0,-0.16,-0.798,6.96
27.5,72.5,0.0,0.0,0.0,-1.041,0.0,7.43
32.5,-72.5,0.0,0.0,0.0,-0.718,0.0,8.08
32.5,-67.5,4.0,1.0,3.0,-0.591,-2.362,7.62
32.5,-62.5,2.0,0.0,0.0,-0.719,-1.439,7.16
32.5,-57.5,0.0,0.0,0.0,-0.87,0.0,6.71
32.5,-52.5,0.0,0.0,0.0,-0.773,0.0,6.26
32.5,-47.5,1.0,1.0,2.0,1.324,1.324,5.83
32.5,-42.5,0.0,0.0,0.0,-0.648,0.0,5.41
32.5,-37.5,0.0,0.0,0.0,-0.571,0.0,5.0
32.5,-32.5,3.0,0.0,0.0,-0.511,-1.533,4.61
32.5,-27.5,0.0,0.0,0.0,-0.745,0.0,4.24
32.5,-22.5,0.0,0.0,0.0,-0.66,0.0,3.91
32.5,-17.5,1.0,1.0,2.0,1.254,1.254,3.61
32.5,-12.5,2.0,0.0,0.0,-0.666,-1.332,3.35
32.5,-7.5,2.0,0.0,0.0,-0.744,-1.487,3.16
32.5,-2.5,3.0,0.0,0.0,-0.704,-2.112,3.04
32.5,2.5,4.0,1.0,2.0,-0.089,-0.355,3.0
32.5,7.5,2.0,0.0,0.0,-0.644,-1.288,3.04
32.5,12.5,0.0,0.0,0.0,-0.749,0.0,3.16
32.5,17.5,1.0,0.0,0.0,-0.669,-0.669,3.35
32.5,22.5,2.0,0.0,0.0,-0.642,-1.285,3.61
32.5,27.5,1.0,0.0,0.0,-0.67,-0.67,3.91
32.5,32.5,1.0,0.0,0.0,-0.606,-0.606,4.24
32.5,37.5,2.0,2.0,4.0,1.167,2.333,4.61
32.5,42.5,1.0,0.0,0.0,-0.756,-0.756,5.0
32.5,47.5,0.0,0.0,0.0,-0.803,0.0,5.41
32.5,52.5,0.0,0.0,0.0,-0.822,0.0,5.83
32.5,57.5,0.0,0.0,0.0,-0.842,0.0,6.26
32.5,62.5,1.0,0.0,0.0,-0.849,-0.849,6.71
32.5,67.5,1.0,0.0,0.0,-0.891,-0.891,7.16
32.5,72.5,0.0,0.0,0.0,-0.882,0.0,7.62
37.5,-72.5,0.0,0.0,0.0,-0.65,0.0,8.28
37.5,-67.5,3.0,1.0,3.0,-0.234,-0.702,7.83
37.5,-62.5,3.0,2.0,6.0,0.954,2.862,7.38
37.5,-57.5,0.0,0.0,0.0,-1.067,0.0,6.95
37.5,-52.5,0.0,0.0,0.0,-0.815,0.0,6.52
37.5,-47.5,0.0,0.0,0.0,-0.655,0.0,6.1
37.5,-42.5,1.0,0.0,0.0,-0.744,-0.744,5.7
37.5,-37.5,1.0,0.0,0.0,-0.663,-0.663,5.32
37.5,-32.5,0.0,0.0,0.0,-0.774,0.0,4.95
37.5,-27.5,1.0,1.0,2.0,1.286,1.286,4.61
37.5,-22.5,0.0,0.0,0.0,-0.636,0.0,4.3
37.5,-17.5,3.0,0.0,0.0,-0.706,-2.119,4.03
37.5,-12.5,1.0,1.0,2.0,1.314,1.314,3.81
37.5,-7.5,2.0,0.0,0.0,-0.705,-1.409,3.64
37.5,-2.5,0.0,0.0,0.0,-0.745,0.0,3.54
37.5,2.5,2.0,1.0,2.0,0.304,0.608,3.5
37.5,7.5,2.0,1.0,2.0,0.331,0.661,3.54
37.5,12.5,1.0,0.0,0.0,-0.603,-0.603,3.64
37.5,17.5,0.0,0.0,0.0,-0.741,0.0,3.81
37.5,22.5,1.0,0.0,0.0,-0.654,-0.654,4.03
37.5,27.5,1.0,1.0,2.0,1.32,1.32,4.3
37.5,32.5,0.0,0.0,0.0,-0.599,0.0,4.61
37.5,37.5,2.0,0.0,0.0,-0.621,-1.242,4.95
37.5,42.5,1.0,1.0,2.0,1.316,1.316,5.32
37.5,47.5,1.0,1.0,2.0,0.95,0.95,5.7
37.5,52.5,0.0,0.0,0.0,-0.945,0.0,6.1
37.5,57.5,0.0,0.0,0.0,-0.739,0.0,6.52
37.5,62.5,3.0,0.0,0.0,-1.021,-3.062,6.95
37.5,67.5,3.0,1.0,3.0,0.027,0.081,7.38
37.5,72.5,0.0,0.0,0.0,-0.645,0.0,7.83
42.5,-72.5,0.0,0.0,0.0,-0.596,0.0,8.5
42.5,-67.5,1.0,0.0,0.0,-0.898,-0.898,8.06
42.5,-62.5,2.0,0.0,0.0,-1.086,-2.173,7.63
42.5,-57.5,2.0,0.0,0.0,-0.669,-1.338,7.21
42.5,-52.5,1.0,0.0,0.0,-0.701,-0.701,6.8
42.5,-47.5,0.0,0.0,0.0,-0.68,0.0,6.4
42.5,-42.5,1.0,0.0,0.0,-0.786,-0.786,6.02
42.5,-37.5,2.0,1.0,2.0,0.31,0.62,5.66
42.5,-32.5,1.0,0.0,0.0,-0.67,-0.67,5.32
42.5,-27.5,1.0,0.0,0.0,-0.457,-0.457,5.0
42.5,-22.5,2.0,1.0,2.0,0.403,0.805,4.72
42.5,-17.5,1.0,0.0,0.0,-0.63,-0.63,4.47
42.5,-12.5,0.0,0.0,0.0,-0.77,0.0,4.27
42.5,-7.5,0.0,0.0,0.0,-0.748,0.0,4.12
42.5,-2.5,1.0,1.0,2.0,1.206,1.206,4.03
42.5,2.5,1.0,0.0,0.0,-0.688,-0.688,4.0
42.5,7.5,1.0,0.0,0.0,-0.667,-0.667,4.03
42.5,12.5,0.0,0.0,0.0,-0.744,0.0,4.12
42.5,17.5,3.0,0.0,0.0,-0.539,-1.618,4.27
42.5,22.5,1.0,0.0,0.0,-0.787,-0.787,4.47
42.5,27.5,1.0,1.0,2.0,1.347,1.347,4.72
42.5,32.5,0.0,0.0,0.0,-0.706,0.0,5.0
42.5,37.5,1.0,0.0,0.0,-0.759,-0.759,5.32
42.5,42.5,1.0,1.0,2.0,1.108,1.108,5.66
42.5,47.5,0.0,0.0,0.0,-0.999,0.0,6.02
42.5,52.5,1.0,0.0,0.0,-0.84,-0.84,6.4
42.5,57.5,3.0,1.0,3.0,0.036,0.109,6.8
42.5,62.5,8.0,1.0,3.0,-0.493,-3.943,7.21
42.5,67.5,1.0,0.0,0.0,-0.661,-0.661,7.63
42.5,72.5,0.0,0.0,0.0,-0.941,0.0,8.06
47.5,-72.5,0.0,0.0,0.0,-0.674,0.0,8.75
47.5,-67.5,1.0,0.0,0.0,-1.034,-1.034,8.32
47.5,-62.5,2.0,0.0,0.0,-0.829,-1.658,7.91
47.5,-57.5,3.0,0.0,0.0,-0.758,-2.273,7.5
47.5,-52.5,5.0,1.0,3.0,-0.165,-0.826,7.11
47.5,-47.5,0.0,0.0,0.0,-0.758,0.0,6.73
47.5,-42.5,1.0,1.0,2.0,1.164,1.164,6.36
47.5,-37.5,0.0,0.0,0.0,-0.774,0.0,6.02
47.5,-32.5,1.0,0.0,0.0,-0.663,-0.663,5.7
47.5,-27.5,0.0,0.0,0.0,-0.603,0.0,5.41
47.5,-22.5,0.0,0.0,0.0,-0.616,0.0,5.15
47.5,-17.5,2.0,1.0,2.0,0.305,0.609,4.92
47.5,-12.5,0.0,0.0,0.0,-0.758,0.0,4.74
47.5,-7.5,2.0,2.0,4.0,1.225,2.449,4.61
47.5,-2.5,0.0,0.0,0.0,-0.947,0.0,4.53
47.5,2.5,3.0,1.0,2.0,-0.066,-0.199,4.5
47.5,7.5,1.0,1.0,2.0,1.217,1.217,4.53
47.5,12.5,2.0,0.0,0.0,-0.559,-1.118,4.61
47.5,17.5,1.0,0.0,0.0,-0.542,-0.542,4.74
47.5,22.5,0.0,0.0,0.0,-0.537,0.0,4.92
47.5,27.5,0.0,0.0,0.0,-0.704,0.0,5.15
47.5,32.5,1.0,1.0,2.0,1.324,1.324,5.41
47.5,37.5,0.0,0.0,0.0,-0.788,0.0,5.7
47.5,42.5,0.0,0.0,0.0,-0.908,0.0,6.02
47.5,47.5,0.0,0.0,0.0,-0.811,0.0,6.36
47.5,52.5,2.0,1.0,3.0,0.265,0.531,6.73
47.5,57.5,7.0,2.0,6.0,-0.336,-2.351,7.11
47.5,62.5,4.0,0.0,0.0,-0.903,-3.611,7.5
