player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg,f2,f2a,f3,f3a,f2p,f3p,fgp,efg,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
A. Diputado,NU,-0.137,-5.875,0.951,40.875,0.814,35,43,17,16,33,1,10,48.5,10,39.5,40.7,32,-0.137720930232558,0.145672379285071,-0.421114239750187,0.283393309517629,0.629211334461522,0.79322842514721,0.140224299612879,-0.982147392518754,2.021,TRUE,20.1124971162791,10,-12,31.25,1.704
G. Mahinay,UST,-0.109,-6.217,0.916,52.217,0.807,46,57,23,23,57,,,40.4,0,40.4,40.4,39,-0.109789473684211,0.154134184855952,-0.373713132224373,0.263923658540163,0.665102569470768,0.815538208467738,0.130590627679447,-0.840714801935894,2.021,TRUE,25.7439930526316,16,-7,41.026,2.726
D. Yu,NU,-0.122,-6.489,0.896,47.489,0.774,41,53,15,4,12,11,41,33.3,26.8,28.3,38.7,40,-0.119245283018868,0.224894259852995,-0.463384825890731,0.344139542871863,1.16675332000621,1.08016356169157,0.170788855023257,-0.698202953598053,2.015,TRUE,46.0721569811321,12,-16,30,2.044
A. Pasaol,UE,-0.023,-6.771,0.952,279.771,0.929,273,294,125,102,197,23,97,51.8,23.7,42.5,46.4,151,-0.0225442176870748,0.0981346544282873,-0.143223089802437,0.120678872115362,0.56320376820183,0.750469032140454,0.0610723037021064,-0.36913979529967,1.976,TRUE,84.5573097346939,56,-39,37.086,9.54
M. Aquino,NU,-0.21,-6.94,0.877,28.94,0.667,22,33,10,8,23,3,11,34.8,27.3,32.4,36.8,30,-0.210363636363636,0.169643194199175,-0.590370466926447,0.380006830562811,1.03894506697065,1.0192865480181,0.186095411637028,-1.13040743193574,2.042,TRUE,31.4569927272727,8,-14,26.667,1.363
R. Acuno,UE,-0.257,-7.214,0.9,25.214,0.643,18,28,9,9,28,,,32.1,0,32.1,32.1,23,-0.255357142857143,0.0965162578558633,-0.607230543570149,0.351873400713006,0.678954714053803,0.823987083669279,0.171813183941898,-1.48624882560524,2.048,TRUE,16.4367709285714,7,-9,30.435,1.193
I. Batalier,UST,-0.234,-7.245,0.879,27.245,0.645,20,31,9,7,21,2,10,33.3,20,29,32.3,29,-0.232548387096774,0.121337658748361,-0.586434432941909,0.353886045845135,0.868436862494425,0.931899598934577,0.173049411171215,-1.34382651476745,2.045,TRUE,25.8845159677419,8,-13,27.586,1.363
A. Caracut,DLSU,-0.058,-7.428,0.877,111.428,0.819,104,127,46,34,84,12,43,40.5,27.9,36.2,40.9,92,-0.058992125984252,0.133561085418208,-0.251545337386712,0.19255321140246,0.863959979516794,0.929494475248129,0.0969064979378259,-0.608753047933903,1.987,TRUE,78.9405246614173,30,-32,32.609,5.111
J. Espeleta,ADU,-0.106,-8.534,0.844,67.534,0.738,59,80,27,22,54,5,26,40.7,19.2,33.8,36.9,67,-0.1075625,0.135536553398522,-0.350661553398522,0.243099053398522,0.989877258534565,0.994925755287582,0.121549526699261,-0.884927345427943,2,TRUE,66.1070683875,22,-23,32.836,3.748
F. Jaboneta,UP,-0.279,-8.654,1.021,31.654,0.742,23,31,10,7,16,3,15,43.8,20,32.3,37.1,23,-0.278774193548387,0.160669442762069,-0.718217829858843,0.439443636310456,1.05894716223631,1.02905158385589,0.214572088042215,-1.29920995825674,2.048,TRUE,25.0842837419355,7,-9,30.435,1.193
