player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
G. Mahinay,UST,0.0631231411215346,0.1262462822430692,1.5389530788043009,130,1.0331457767172592,0.19709463036377364
L. Gonzales,FEU,0.2126238858532688,0.4252477717065376,0.7999458381220087,126,1.1139047764574361,0.22089076261970744
D. Murrell,UP,0.08041010751818317,0.16082021503636634,1.4112648120003697,117,1.040124361406354,0.2307440976859985
B. Akhuetie,UP,0.3166192522777711,0.6332385045555422,0.4781852737374364,145,0.953116068868764,0.16306700874344734
Ju. Gomez de Liaño,UP,0.26877128751122226,0.5375425750224445,0.617524102801038,215,1.0228033017490907,0.14030387680096879
P. Desiderio,UP,0.14748906858518937,0.29497813717037874,1.0500154245289206,200,1.037690140929397,0.14648348103926173
J. Manzo,UP,0.02073706337532141,0.04147412675064282,2.056078905885906,153,0.9848762285458429,0.16147681893245622
C. Vito,UP,0.2852825166711209,0.5705650333422418,0.568853221725217,115,1.0736285070141427,0.245810182995604
D. Dario,UP,0.24922763458696395,0.4984552691739279,-0.6789338878389034,123,1.1707157853415584,0.23993301824596702
Ja. Gomez de Liaño,UP,0.26905454825072167,0.5381090965014433,0.6170040042546941,160,1.0680998763340548,0.16970840524808092
F. Jaboneta,UP,0.03333977563724239,0.06667955127448479,1.851541402167914,114,1.0953797122725344,0.25508698186564716
S. Belangel,ADMU,0.13728022580671165,0.2745604516134233,1.0970777221189503,135,1.0761777943204673,0.19691395620782784
J. Nieto,ADMU,0.06801693687401282,0.13603387374802564,1.5007163729735475,121,1.08473391361026,0.2277580167416548
G. Mamuyac,ADMU,0.473118243495638,0.946236486991276,0.06757731384643811,118,1.1041212715982647,0.24137041858425765
B. Bienes,FEU,0.37061427184130236,0.7412285436826047,0.3309110677458171,134,1.1031348014224112,0.20343343765124644
J. Manuel,DLSU,0.027885554782982953,0.055771109565965905,1.9299769639529538,131,1.0924969890334142,0.2065734958962321
J. Cullar,UE,0.20082701568993488,0.40165403137986977,0.8415145348607702,126,1.0616709932016408,0.21053264183439271
M. Maloles,UE,0.028001774486958265,0.05600354897391653,1.9285278718435284,128,1.0984931259969746,0.213514160609144
C. Conner,UE,0.11093461923071672,0.22186923846143344,1.2267375495489627,148,1.0198049580212325,0.17154728397626884
A. Pasaol,UE,0.03558357068886651,0.07116714137773301,1.812377505202971,242,0.9044595506575689,0.1192213717046719
J. Varilla,UE,0.06977027666108164,0.13954055332216328,1.4838187203608493,187,1.0713536773509855,0.15587866436907574
P. Manalang,UE,0.007771372859270587,0.015542745718541175,2.4422111611188395,184,1.0216797940049764,0.14982639426644032
R. Acuno,UE,0.03599041648849275,0.0719808329769855,1.8161139550006469,114,1.061378743942621,0.24716899297593772
W. Bartolome,UE,0.17932473705740248,0.35864947411480497,0.9209935757352703,139,1.0026052814427124,0.17818758892408776
