player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
P. Desiderio,UE,1.4200885072590773e-19,2.8401770145181547e-19,11.755515150072055,82,1.0677829822695009,0.23631461186819808
J. Manzo,NU,2.5981111180583656e-54,5.196222236116731e-54,39.771989608859364,79,1.0340116815601266,0.2350146445255512
C. Vito,ADU,6.066678656246916e-77,1.2133357312493832e-76,72.1164402161536,83,1.0645909433113847,0.23369151263549245
D. Dario,UE,1.077720059572521e-65,2.155440119145042e-65,51.603129826787146,84,1.1229680494929324,0.24457818822935903
Ja. Gomez de Liaño,FEU,4.04874456510929e-19,8.09748913021858e-19,11.51848544420512,82,1.1466367494032197,0.25376600197646154
F. Jaboneta,ADU,5.931906336702819e-18,1.1863812673405638e-17,11.37236940510142,71,1.0492674045130692,0.26142309435238453
S. Belangel,DLSU,1.8066999112371625e-54,3.613399822474325e-54,-38.88839862992206,81,1.2094417625482454,0.2699519746211016
J. Nieto,ADMU,2.1142597363098978e-49,4.2285194726197955e-49,35.068261330109934,77,1.1039905215134886,0.25592942619866876
G. Mamuyac,UP,1.457097112483536e-45,2.914194224967072e-45,32.61276676197247,73,1.0340127953569302,0.2508833445416374
B. Bienes,ADU,1.6767118633564582e-72,3.3534237267129164e-72,68.66276540182997,79,1.0940044016492136,0.24865004926738618
J. Manuel,UP,1.6357693973693797e-47,3.2715387947387595e-47,-32.228801908609015,79,1.2327474389190811,0.2801841664982244
J. Cullar,NU,0.4543548558145049,0.9087097116290098,-0.11504899731329905,76,1.0758826338819047,0.2520665166774827
M. Maloles,NU,6.617164430766768e-54,1.3234328861533536e-53,40.41655593073656,77,1.1112709935460936,0.2576172006799257
C. Conner,ADMU,1.3104732433519367e-12,2.6209464867038734e-12,-8.366781545500755,74,1.1349767206302477,0.2720281374172988
A. Pasaol,UP,3.491283717927769e-52,6.982567435855539e-52,42.725671547083266,70,1.1228568071251688,0.283810635641789
J. Varilla,UST,8.351029121767778e-55,1.6702058243535555e-54,42.204874554862165,76,1.0838279701337217,0.25392801454886355
P. Manalang,UP,4.282885132577758e-09,8.565770265155516e-09,6.5264930229033515,71,1.0879030282639308,0.2710490908045205
R. Acuno,UE,6.054476221268218e-50,1.2108952442536437e-49,39.57268518090777,70,1.068354440860855,0.2700347462182214
W. Bartolome,UST,8.196850671558006e-15,1.6393701343116013e-14,9.931110631870292,63,1.0956300317696264,0.3154732754608306
